ID;Doi;Author;Title;Year;Type_of_study;Vegetation_type;Community_type;Country;Continent;GC_factor;C_specifics_detailed;GC_specifics_simple;Modulator;Modulator_specifics;Response_variable;Response_variable_specifics;Direction_interaction;direction_GC_factor;Notes
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Productivity;temporal mean biomas;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Productivity;temporal mean biomas;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Productivity;temporal mean biomas;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;species richness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;species richness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;species richness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;evenness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;evenness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;evenness;;;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Productivity;temporal mean biomass;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Productivity;temporal mean biomass;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Productivity;temporal mean biomass;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;species richness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;species richness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;species richness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;evenness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;evenness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;evenness;neutral;neutral;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Productivity;temporal mean biomass;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Productivity;temporal mean biomass;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Productivity;temporal mean biomass;neutral;increase;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;species richness;mitigation;decrease;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;species richness;mitigation;decrease;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;species richness;mitigation;decrease;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;evenness;neutral;decrease;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;oomycete;Diversity;evenness;neutral;decrease;
4;10.1002/ecy.4166;Zhao et al.;Fungal pathogens increase community temporal stabilitythrough species asynchrony regardless of nutrient fertilization;2023;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;pathogen;oomycete + fungicide;Diversity;evenness;neutral;decrease;
